Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 Towa no Utage - 	81.70	Expert	1.96★					
 Africa - 	81.70	Hard	2.04★					
 The Force Theme - Far Out Remix	81.70	Expert	2.01★					
 Zayde Wolf - Hustler.oog - 	81.60	Expert	2.03★					
 Bad Behavior - 	81.60	Expert	2.06★					
 BBUM  BBUM - 	81.60	Expert	2.05★					
 Chats Been Spammin' Foki - Carrot Bois	81.60	Hard	2.07★					
 Blood Sugar - Pendulum, Knife Party Remix	81.50	Expert	1.99★					
 It's a hard knock life - Annie	81.50	Expert	2.04★					
 Ball For Me - Post Malone(Ft. Nicki Minaj)	81.50	Hard	1.97★					
 Shatter Me Feat. Lzzy Hale - Lindsey Stirling	81.50	Hard	2.04★					
 Feel Your Love vs Gold Skies ( AFISHAL MASHUP)) - 	81.40	Expert	2.02★					
 Mr. Blue Sky - Electric Light Orchestra	81.40	Hard	2.03★					
 Do What You Want - Oh No	81.40	Expert	2.04★					
 Alone - Marshmello	81.30	Hard	2.03★					
 Money - 	81.30	Expert	2.03★					
 JoJo's BA - Opening 2	81.30	Expert	1.94★					
 Be Alright - Stonebank	81.10	Hard	2.05★					
 Powerful - Major Lazer	81.10	Expert	1.96★					
 Time Machine To The Stone Age - Hatsilva Miku	81.00	Expert	2.03★					
 Fade - 	80.90	Hard	2.06★					
 Rewind  - 	80.90	Expert	1.99★					
 Men In Black - Will Smith	80.80	Hard	2.03★					
 Party Rock Anthem - LMFAO	80.80	Expert	2.01★					
 Death to Disco - by Freeek	80.70	Expert	2.02★					
 Weasel Stomping Day - Weird Al Yankovic	80.70	Expert	1.96★					
 Funky Town - Lipps Inc.	80.70	Expert	2.02★					
 Language - 	80.70	Expert	2.01★					
 Language - 	80.70	Expert	2.01★					
 Remote Control - 	80.70	Expert	2★					
 Fifteen Minutes - 	80.60	Expert	1.97★					
 Friday Night - Vigiland	80.60	Hard	2.02★					
 BTH2 - Daybreak Frontline - (Charted by M.Rappold	80.60	Expert+	1.92★					
 Fortress - 	80.60	Hard	1.98★					
 Fortress - 	80.60	Hard	1.98★					
 Born to be alive - Born to be alive	80.50	Hard	1.92★					
 Manslaughter (VIP Mix) - Lets Be Friends	80.50	Expert	2.01★					
 Twisted Transistor - Korn	80.50	Expert	1.94★					
 Brain Power - NOMA	80.50	Expert	1.92★					
 Twisted Transistor - Korn	80.50	Expert	1.94★					
 Brain Power - NOMA	80.50	Expert	1.92★					
 Yuri on Ice! - Taro Umebayashi	80.40	Expert	1.95★					
 The Legend of Zelda Theme - Zedd Remix	80.40	Hard	1.97★					
 Sleeping Powder - Gorillaz	80.40	Expert	1.95★					
 Symphony - Clean Bandit	80.40	Expert	1.93★					
 Memes - 	80.40	Hard	2.01★					
 Cloud 9 - 	80.30	Expert	1.96★					
 Gone - Kap Slap - 	80.30	Hard	2★					
 Solar Eclipses - Hollywood Principle	80.20	Expert	2.04★					
 The Next Episode - 	80.20	Hard	1.88★					
 Lost In The Echo - Linkin Park	80.20	Expert	1.95★					
 Nightmare - Avenged Sevenfold	80.10	Hard	2★					
 Circles - (Level by Auros)	80.10	Expert	2★					
 Cut Your Teeth - Kygo & Kyla La Grange	80.10	Expert	1.96★					
 Color Pulse - Splatoon OST	80.00	Expert	1.91★					
 Shake It Off - Taylor Swift	79.90	Normal	1.98★					
 Sometimes Things Get, Whatever - Deadmau5	79.90	Normal	1.99★					
 Rasputin-Boney M - 	79.90	Hard	1.97★					
 Devil Trigger-DMC5 - 	79.80	Expert	1.98★					
 Prayer - Chart by Mystikmol	79.80	Hard	1.99★					
 Love Shack - B-52s	79.80	Expert	1.98★					
 Rivers in the Desert - Persona 5	79.80	Hard	2★					
 Waiting for the End - Linkin Park - 	79.80	Expert	1.95★					
 The Final Countdown - Europe	79.70	Expert	2.19★					
 Arcadia - Hardwell & Joey Dale feat. Luciana - Rev.Law	79.70	Hard	2.03★					
 Black  - V2	79.70	Expert	1.94★					
 Hands Down (feat. Kayo Genesis) - TheBluff	79.70	Expert	2.02★					
 Issues - Julia Michaels	79.70	Expert	2.02★					
 The Greatest Show - The Greatest Showman	79.60	Expert	1.99★					
 Weaponized - 	79.60	Expert+	1.94★					
 Alexander Hamilton - Hamilton, Broadway	79.50	Expert	1.99★					
 Mortal Kombat (Original Theme) - Techno Syndrome	79.50	Hard	2.15★					
 Doomsday - Nero - 	79.50	Expert	1.92★					
 Routing - Camellia	79.50	Expert+	1.95★					
 Routing - Camellia	79.50	Expert+	1.95★					
 Routing - Camellia	79.50	Expert+	1.94★					
 Uncle Fucker - South Park	79.40	Expert	1.96★					
 CAN'T STOP THE FEELING! - Justin Timberlake	79.40	Expert	1.93★					
 Party Like A Rockstar - mapped by staywoke (thanks Faith)	79.40	Expert	2.01★					
 Red - 	79.40	Hard	1.98★					
 Hello, Morning (Short edit) - Nor ft. Kizuna AI	79.30	Hard	1.97★					
 Swiggity - IZECOLD	79.20	Hard	1.97★					
 Colorblind - Panda Eyes	79.20	Expert	1.93★					
 LATATA  - 	79.20	Expert	1.84★					
 Contact - 	79.20	Expert	2.04★					
 Black Betty - Caravan Palace Remix	79.20	Hard	1.98★					
 BTH - Snowblind - (Charted by M.Rappold)	79.20	Expert	1.98★					
 SOURCE - 	79.10	Expert	1.97★					
 Science Blaster - Nirre, Acid Usagi	79.10	Expert	1.97★					
 Victory - Two Steps From Hell	79.10	Expert	1.97★					
 Get Schwifty (Andromulus Remix) - 	79.10	Expert	1.89★					
 Everything Black - Unlike Pluto	79.00	Hard	1.96★					
 Zombie - Ran-D	79.00	Expert	1.98★					
 Brain Power - NOMA	79.00	Expert	1.92★					
 I Apologize - Five Finger Death Punch	78.90	Hard	1.99★					
 GIRL LIKE YOU - maroon 5	78.90	Normal	1.97★					
 Huo Yuanjia - Jay Chou	78.90	Expert	1.97★					
 Fire - 	78.90	Expert	1.99★					
 Smile Bomb - Yu Yu Hakusho Theme - 	78.80	Hard	1.88★					
 Posin(V2) - Peggy Suave	78.80	Expert	1.89★					
 Bohemian Rhapsody - Queen	78.80	Expert	1.99★					
 TRNDSTTR (Lucian Remix) - Black Coast	78.80	Expert	2.01★					
 Weapon - 	78.70	Hard	1.98★					
 Toska-9 - Mick Gordon	78.70	Expert	2.04★					
 Nepgear's Theme - Hyperdimension Neptunia Re;Birth 1 OST	78.70	Expert	1.98★					
 Drop the Bomb (Michael White Remix) - Far Too Loud	78.70	Expert	1.99★					
 Joyride - 	78.70	Expert	1.98★					
 Joyride - 	78.70	Expert	1.98★					
 Joyride - 	78.70	Expert	1.98★					
 Everybody Wants To Rule The World - by Tears for Fears	78.60	Expert	1.96★					
 Heavy Metal and Reflective - Azealia Banks	78.60	Hard	1.98★					
 Ringside - Rhythm Heaven Fever - by Tsunku	78.60	Expert	2.01★					
 I Gotta Feeling - The Black Eyed Peas	78.60	Hard	1.96★					
 Lullabies (Adventure Club Remix) - Map by Neverborne	78.60	Hard	1.98★					
 Gourmet Race - Kirby Super Star	78.50	Expert	2★					
 Take Me Home, Country Roads - Fallout 76	78.50	Hard	1.91★					
 Dimension - Creo	78.50	Hard	1.99★					
 White & Nerdy - Yaardvark	78.50	Expert	2.04★					
 A Light that Never Comes  - 	78.50	Hard	1.9★					
 A Light that Never Comes  - 	78.50	Hard	1.9★					
 Rocket League x Monstercat - Glide - Stephen Walking	78.40	Hard	1.96★					
 Sleepyhead - Passion Pit	78.40	Hard	1.96★					
 Absolute Territory - by WTHX	78.30	Normal	1.89★					
 Pushed Down(Nightcore) - Stahl	78.30	Hard	1.89★					
 I'm On A Boat - The Lonely Island - 	78.30	Expert	1.91★					
 In The End - Linkin Park - 	78.30	Expert	1.91★					
 Storm - SueRie	78.30	Hard	1.96★					
 Storm - SueRie	78.30	Hard	1.96★					
 Brain Power - NOMA	78.30	Expert	1.92★					
 Brain Power - NOMA	78.30	Expert	1.92★					
 Lost My Pieces - Yukari Hashimoto	78.20	Hard	1.94★					
 Cat's Invitation to Gehenna - Foxtail-Grass Studio	78.20	Hard	1.92★					
 Those Everyday Feels - Kevin Penkin	78.20	Expert	1.95★					
 Duncan Hills Coffee Jingle - Dethklok	78.20	Expert	1.9★					
 Thomas the Tank Engine Theme - Mike O'Donnell	78.20	Expert	2.08★					
 Bring It On - Giga-P	78.10	Hard	1.95★					
 The SlyFox and The Curious Cat - Stuck In Your Radio	78.10	Hard	1.92★					
 Tightrope (Wondamix) - Janelle Monáe feat. B.o.B. & Lupe Fiasco	78.10	Hard	1.95★					
 A-Punk - Vampire Weekend	78.10	Hard	1.96★					
 Gimme A Taste - Full Moon Frenzy	78.10	Hard	1.95★					
 Mute City - Super Smash Bros. Melee	78.10	Expert	1.86★					
 SouthPark goth song - 	78.10	Expert	1.82★					
 Shinsekai Yori - ED1	78.10	Expert	1.9★					
 Fractures (feat. Nevve) - 	78.10	Expert	1.89★					
 My Hero Academia - HERO A - 	78.10	Hard	1.87★					
 My Hero Academia - HERO A - 	78.10	Hard	1.87★					
 Mi Yard - Nova Rockafeller	78.00	Expert	1.86★					
 The Way I Are - Timbaland	78.00	Expert	1.87★					
 Feel Good Inc. - 	78.00	Hard	1.91★					
 News 39 - MitchieM	77.90	Hard	1.96★					
 The Dark of You - 	77.90	Hard	1.76★					
 Live To Win - Paul Stanley	77.90	Hard	1.93★					
 Overdose - EXO-K	77.90	Hard	1.95★					
 New Light - (mapped by Valveron)	77.90	Expert	1.94★					
 Out Of The Black - Royal Blood	77.90	Hard	1.89★					
 Blust of Wind - Made by Yoshirosama	77.90	Hard	1.96★					
 hot chocolate - dark cat	77.80	Expert	1.94★					
 Girls' Last Tour Remix - Aiobahn	77.80	Expert	1.96★					
 Black Skinhead - Kanye West	77.80	Hard	1.95★					
 Mambo No. 5 - Lou Bega	77.70	Hard	1.91★					
 Don't Dance to This - Umbilical Brothers	77.70	Hard	1.94★					
 Take On Greek's Diet - 	77.70	Expert	2.14★					
 Dragula - Rob Zombie	77.60	Normal	1.87★					
 Here It Goes Again - OK GO	77.60	Expert	1.89★					
 Ai Kotoba III - DECO*27 ft. Hatsune Miku 	77.50	Hard	1.93★					
 Sagittarius - From "Not an Album"	77.50	Hard	1.95★					
 Hollywood Principle - Breathing Underwater (Ether Remix) - 	77.50	Expert	1.98★					
 MegaloBox Main Theme Song - Mabanua	77.50	Hard	1.95★					
 MegaloBox Main Theme Song - Mabanua	77.50	Hard	1.95★					
 TORN - Sen	77.40	Expert	2.09★					
 JoJo's BA - Opening 4	77.40	Expert	1.92★					
 Ddu-du Ddu-du - 	77.30	Expert	1.88★					
 Rejecta - Followed - 	77.30	Hard	2.22★					
 Hypertrophy - Eternal Flames	77.30	Expert	1.92★					
 Lil Jon's Palace - Caravan Palace/ Lil Jon	77.30	Expert	1.94★					
 E - 	77.20	Hard	1.94★					
 Another Winter - Anamanaguchi	77.20	Hard	1.93★					
 Hao Han Ge(shui hu zhuan) - 	77.20	Hard	1.93★					
 SAO intro (eaysier) - 	77.20	Expert	1.93★					
 Life Will Change - Persona 5 OST	77.20	Hard	1.93★					
 Love Sosa - 	77.20	Expert	1.94★					
 Da Funk - 	77.10	Hard	1.93★					
 Headless Beast - Pause Ahead Side A - Bill Kiley	77.10	Normal	1.92★					
 Guardian of The Former Seas - 	77.10	Expert	1.9★					
 Saturday Morning Space Ride (Fixed) - Hyper Potions	77.10	Expert	1.8★					
 Lowlife - That Poppy (Slushii Remix)	77.10	Expert	1.8★					
 Toxic - Britney Spears	77.00	Hard	1.86★					
 Imperfection - Wolfgang Lohr & Balduin (feat Zouzoulectric)	77.00	Hard	1.89★					
 Gokuraku Joudo - 	77.00	Expert	1.93★					
 Dum Dee Dum - Dum Beat Dum	77.00	Hard	1.95★					
 Beggin - Madcon	76.90	Expert+	1.94★					
 White Flag - Delta Heavy	76.90	Hard	1.98★					
 Practise Book For Youth(TF Boys) - 	76.90	Hard	1.93★					
 The Office Theme - 	76.90	Expert	1.93★					
 Silhouette - 	76.80	Expert	1.92★					
 Stamina - Vitalic	76.80	Expert	1.68★					
 Flight of the Silverbird - Two Steps From Hell	76.80	Expert	1.92★					
 BTH - Snowblind - (Charted by M.Rappold)	76.80	Expert+	2★					
 Slipping Away - 	76.80	Expert	1.93★					
 Fighting Dreamers - naruto	76.80	Hard	1.83★					
 The Starting Line - Mouth Moods	76.80	Expert+	1.95★					
 The Time Warp - Charted by Katiedead	76.80	Expert	1.83★					
 The Starting Line - Mouth Moods	76.80	Expert+	1.95★					
 The Time Warp - Charted by Katiedead	76.80	Expert	1.83★					
 Chop Chop - 	76.70	Easy	1.92★					
 Homies Unite - Stuck In Your Radio	76.70	Expert	1.88★					
 Deja Vu - Inital D	76.70	Expert	2.19★					
 Attack on Titan - Roselia - Guren no Yumiya Cover	76.70	Expert	1.9★					
 Unholy Insurgency - DM DOKURO	76.60	Expert	1.78★					
 Bad ft.Vassy - David Guetta & Showtek	76.60	Expert	1.92★					
 Jigsaw Hustle - 	76.60	Expert+	1.91★					
 Jigsaw Hustle - 	76.60	Expert	1.91★					
 Onda onda - Olha a onda	76.60	Hard	1.98★					
 Sunset - from Deemo	76.60	Normal	1.9★					
 I was King  - 	76.60	Hard	1.91★					
 I was King  - 	76.60	Hard	1.91★					
 SexyBack - 	76.50	Hard	1.91★					
 Remix 10 - SilvaGunner Remix	76.50	Hard	1.91★					
 Lethargy - Bastille	76.50	Hard	1.84★					
 iRobot - Jon Bellion	76.50	Expert	1.93★					
 Trainwreck of Electro Swing - Pascal Michael Stiefel	76.40	Expert	1.82★					
 Let Mom Sleep - by Hideki Naganuma	76.40	Hard	1.91★					
 When Can I See You Again - Owl City	76.40	Expert+	1.86★					
 Outbreak - Mediks	76.40	Hard	1.94★					
 Myosotis - 	76.40	Expert	1.89★					
 500 Miles except every second beat is taken out - 	76.40	Hard	1.86★					
 Summer - (Map By QuiqueLocoXDDDD)	76.40	Hard	1.85★					
 Tokyo TakeDown - Boom Kitty - HeliXiX	76.30	Hard	1.91★					
 ?? (Wadatsumi) - 	76.20	Normal	1.94★					
 Dark Horse - Katty Perry	76.20	Normal	1.9★					
 Neckbrace - Ratatat	76.20	Expert	1.91★					
 Wolves - Selena Gomes ft Marshmello	76.10	Expert	1.91★					
 Shia LaBeouf - Rob Cantor	76.10	Expert	1.92★					
 Staff Credits - Kirby's Dream Land - MASAKI	76.00	Hard	1.9★					
 Electrodrome - Mario Kart 8 OST	76.00	Expert	1.88★					
 Numb - Linkin Park	76.00	Hard	1.86★					
 Mute City - F-Zero	76.00	Expert	1.89★					
 Siberia (Ownglow Remix) - Lights	75.90	Expert	1.91★					
 Qubism - Chart by Moriik	75.90	Hard	2.02★					
 Shatter Me Feat. Lzzy Hale - Lindsey Stirling	75.90	Normal	1.88★					
 Batshit - Sofi Tukker	75.90	Expert	1.82★					
 Batshit - Sofi Tukker	75.90	Expert	1.82★					
 YuGiOh! - Its Time To Duel!	75.80	Expert	1.88★					
 Weak - AJR - 	75.80	Expert	1.83★					
 Ready to Die - Andrew W.K.	75.80	Hard	1.9★					
 No Name - NF	75.70	Expert	1.9★					
 I'm Gonna Be (500 Miles) - The Proclaimers	75.70	Hard	1.89★					
 Back Again - Archie	75.70	Hard	1.83★					
 What I've Done - Linkin Park	75.70	Expert	1.8★					
 What I've Done - Linkin Park	75.70	Expert	1.8★					
 Magika - 	75.60	Expert	1.89★					
 Backup - (Tisoki Remix)	75.60	Expert	1.89★					
 Low - 	75.50	Hard	1.85★					
 BBoom BBoom - 	75.50	Expert	1.81★					
 L.L.L. - [TV Size]	75.50	Expert	1.81★					
 L.L.L. - [TV Size]	75.50	Expert	1.81★					
 Black Shout - Roselia	75.40	Hard	1.82★					
 Devilman no Uta - Devilman Crybaby	75.40	Expert	1.88★					
 Mausoleum Mash (1-3) - Crypt of the Necrodancer	75.30	Hard	1.88★					
 It's Gonna Be Me - NSYNC	75.20	Normal	1.88★					
 Wake Me Up When September Ends - Green Day	75.20	Hard	1.82★					
 Psychosocial - Slipknot	75.20	Expert	1.88★					
 Heavy Light - 	75.20	Hard	1.88★					
 Blast Off - Nasty Party	75.20	Expert	1.91★					
 Gerudo Valley METAL - 	75.20	Expert	1.79★					
 DDU-DU DDU-DU - BLACKPINK ????	75.10	Hard	1.88★					
 Why Don't You Come On - 	75.10	Hard	1.88★					
 BOOM - Tiesto & Sevenn	75.10	Expert	1.83★					
 My Hero Academia Opening 3 - My Hero Academia	75.10	Expert	1.85★					
 My Hero Academia Opening 3 - My Hero Academia	75.10	Expert	1.85★					
 BTH 3 - Watch It Burn - (Charted by M.Rappold)	75.00	Expert	1.87★					
 Let It Happen - Tame Impala	75.00	Expert	1.78★					
 Brinstar Depths (Kraid's Lair) - Super Smash Bros. Melee	75.00	Expert	1.86★					
 While I'm Alive - (Stoker)	75.00	Expert	1.83★					
 Rx (Medicate) - Theory of a Deadman	75.00	Expert	1.89★					
 Breathe - 	75.00	Hard	1.92★					
 Love Taste (w/ Jamie Paige & Shiki) - Moe Shop	75.00	Hard	1.84★					
 MEME MUSIC SLIDE - DaymanOurSaviour and ManiacPop	74.90	Expert	1.78★					
 Styx Helix - by Myth & Rod	74.70	Normal	1.88★					
 Waiting For Love - Avicii	74.70	Hard	1.87★					
 Spoiler - DJ Hyper - 	74.60	Hard	1.89★					
 League of Legends Season 2016 Login Theme - 	74.60	Expert	1.86★					
 Speakerbox - 	74.60	Hard	1.89★					
 Freaks - Timmy Trumpet & Savage	74.60	Hard	1.86★					
 Knower - Time Traveler - 	74.60	Expert	1.86★					
 POP TEAM EPIC - by Sumire Uesaka	74.50	Hard	1.86★					
 Burn - Ellie Goulding	74.40	Hard	1.81★					
 SouthPark goth song - 	74.40	Normal	1.89★					
 Ddu Du Ddu Du - BlackPink	74.30	Expert	1.78★					
 TRON - Recognizer	74.30	Expert	1.8★					
 Irony - 	74.30	Hard	1.84★					
 Safe and Sound - 	74.30	Expert	1.79★					
 Death By Robot - Feed Me	74.20	Hard	1.81★					
 Rush Hour - Hoosky	74.20	Expert	1.86★					
 Tongue Tied - Earl	74.10	Hard	1.84★					
 Rockstar - Beerbongs & Bentleys	74.10	Expert	1.85★					
 Still D.R.E - Dr. Dre (Feat Snoop Dogg)	74.00	Expert	1.86★					
 Hyrule Market [OoT] (Guitar Cover) - FamilyJules	74.00	Hard	1.85★					
 Protectors of the Earth - Two Steps from Hell	74.00	Expert	1.83★					
 Bloom - ODEZA	74.00	Hard	1.67★					
 BTH 3 - The Sky Is Falling - (Charted by M.Rappold)	73.90	Expert+	1.8★					
 Plug Walk - Rich the Kid	73.90	Expert	1.86★					
 Don't give me that - Boss Hoss	73.90	Expert	1.84★					
 Pop Culture - 	73.90	Normal	1.82★					
 Exec_cosmoflips - 	73.80	Expert	1.8★					
 Invader Invader - 	73.70	Expert	1.83★					
 Daisuki (ãƒ€ã‚¤ã‚¹ã‚­) - Feat TeddyLoid	73.70	Normal	1.84★					
 Daisuki (ãƒ€ã‚¤ã‚¹ã‚­) - Feat TeddyLoid	73.70	Normal	1.84★					
 Prayer - Chart by Mystikmol	73.60	Normal	1.81★					
 Danny Don't you Know - Ninja Sex Party	73.60	Hard	1.77★					
 Shanranran - (Flying Witch OP)	73.60	Normal	1.75★					
 Red Like Roses - Part II - Ft. Casey Lee Williams and Sandy Casey	73.60	Expert	1.77★					
 Netflix Trip - AJR	73.50	Hard	1.75★					
 Hooked on a Feeling - Blue Swede	73.40	Hard	1.84★					
 TaKillYa - Vinnie Maniscalco	73.40	Normal	1.84★					
 Wake Me Up Before You Go-Go - Wake Me Up Before You Go-Go	73.40	Hard	1.78★					
 BTH 2 - Stars - (Charted by M.Rappold)	73.40	Hard	1.83★					
 EVERYTHING EXPLODES - 	73.40	Expert	1.82★					
 New Style - Pegboard Nerds	73.40	Expert	1.8★					
 New Style - Pegboard Nerds	73.40	Expert	1.8★					
 New Style - Pegboard Nerds	73.40	Expert	1.8★					
 Get Down - BJJ	73.30	Hard	1.83★					
 Luan Shi Ju Xing - 	73.30	Expert	1.84★					
 Meta Taro - 	73.30	Hard	1.83★					
 Crawl Out Of Love - Illenium	73.20	Expert	1.83★					
 X Gon' Give It To Ya - DMX	73.20	Hard	1.83★					
 Pong Dance - 	73.20	Hard	1.83★					
 Strangers Like Me - Phil Collins	73.20	Expert	1.83★					
 Odd Future - Uverworld	73.20	Expert	1.83★					
 Kiss of Death - 	73.20	Expert	1.81★					
 Steamed Hams Inc OR Steamed Hams But It's A Beat Saber Track - 	73.20	Hard	1.78★					
 Steamed Hams Inc OR Steamed Hams But It's A Beat Saber Track - 	73.20	Hard	1.78★					
 Crocodile Cacophony  - Soshi Abe	73.10	Hard	1.81★					
 Charlie Sheen (Winning) - Winning (Charlie Sheen)	73.10	Expert	1.82★					
 Escape - Netsky feat. darrison	73.10	Hard	1.81★					
 Escape - Netsky feat. darrison	73.10	Hard	1.81★					
 Knife Party - Internet Friends (Short version) - 	73.00	Normal	1.78★					
 All Goes Wrong - Chase and Status	73.00	Hard	1.83★					
 One Shot Two Shot - Korean Singer	73.00	Hard	1.82★					
 Halo (Mjolnir Mix) - Martin O'Donnell	73.00	Hard	1.77★					
 Chiru Chiru - REOL	72.90	Hard	1.82★					
 In Between - Charted by PyroBillie	72.90	Normal	1.91★					
 High Hopes - 	72.80	Hard	1.78★					
 More Than You Know - AXWELL /\ INGROSSO	72.80	Expert	1.64★					
 Session - Linkin Park	72.80	Hard	1.86★					
 Dhinka Chika - map by Phoenix7700	72.80	Hard	1.84★					
 Electra Heart - Marina and the Diamonds (Betatraxx remix)	72.80	Normal	1.82★					
 Overtime - (Beatmap by Chandoggie)	72.80	Hard	1.83★					
 Overtime - (Beatmap by Chandoggie)	72.80	Hard	1.83★					
 LAST GAME (TV-Size) - STEINS;GATE	72.70	Expert	1.81★					
 Count Bubba - Big Phat Band	72.70	Expert	1.87★					
 Red Right Hand - Nicky Cave & The Bad Seeds	72.70	Expert	1.81★					
 Akari Akari Akari Akari Akari Akari Akari Akari - Akari Akari Akari Akari Akari Akari Akari Akari	72.70	Expert+	1.81★					
 Dinoco - K - 391	72.60	Hard	1.74★					
 Skyline - Charted by SuperToilet	72.60	Hard	1.79★					
 A Cruel Angel's Thesis - Yoko Takahashi	72.60	Hard	1.78★					
 Happy Little Clouds - (Beatmap by Chandoggie)	72.60	Hard	1.79★					
 Youjo Senki - Los! Los! Los! - Aoi Yuuki	72.50	Easy	1.81★					
 Stronger Than You - NateWantsToBattle	72.50	Hard	1.6★					
 9:00 - ??	72.50	Expert	1.78★					
 Hatsukoi no Ehon - Hatsukoi no Ehon ft.Aida Miou	72.50	Hard	1.72★					
 I'm being Reelistic - Omnitica	72.50	Hard	1.73★					
 Mr.Sandman - (Map By QuiqueLocoXDDDD)	72.50	Expert	1.81★					
 The Time Warp - Charted by Katiedead	72.50	Expert	1.83★					
 Changes (Radio Mix) - 	72.40	Hard	1.8★					
 Bohemian Rhapsody - Queen	72.40	Hard	1.84★					
 Haru yo Koi - Yumi Matsutoya	72.40	Expert	1.81★					
 Miss Jackson (Feat. Lolo) [Clean] - Panic! At The Disco	72.40	Expert	1.81★					
 Gluten Legend - 	72.40	Hard	1.74★					
 Wonderland - 	72.40	Hard	1.84★					
 Cool Patrol - 	72.40	Hard	1.75★					
 Kaizo Trap (Yazer) ScoreFix - Leslie Wai	72.30	Hard	1.75★					
 The Office Theme - 	72.30	Hard	1.61★					
 Harder Better Faster Stronger - Daft Punk	72.30	Expert	1.77★					
 We are Farmers - Dubstep	72.30	Hard	1.75★					
 Pocket Crocodile - Kero Kero Bonito	72.20	Expert	1.8★					
 FUCK YOU! - Kizuna Ai	72.20	Easy	1.83★					
 Bomb Rush Blush - 	72.20	Hard	1.72★					
 Breaking the Law - (for vYking)	72.20	Hard	1.76★					
 The Fox (What Does The Fox Say?) - Ylvis	72.20	Expert	1.75★					
 Want You Gone - GLaDOS	72.10	Normal	1.82★					
 Cry For You - September	72.10	Expert	1.76★					
 AAAMachine Gun - Amon Tobin	72.10	Expert	1.81★					
 Energy Drink - Chart By Moriik	72.00	Hard	1.72★					
 FFVII - Bombing Mission - 	72.00	Expert	1.75★					
 Shut Up and Dance - WALK THE MOON	72.00	Hard	1.74★					
 Duncan Hills Coffee Jingle - Dethklok	72.00	Normal	1.81★					
 Rave in the Grave - AronChupa / Lil Sis Nora	72.00	Hard	1.79★					
 C4 - Tobu - 	72.00	Expert	1.8★					
 C4 - Tobu - 	72.00	Expert	1.8★					
 iro wa niohedo itsuka chiri nuruwo - 	71.90	Hard	1.81★					
 Despacito - Luis Fonsi ft. Daddy Yankee	71.90	Hard	1.73★					
 Lo Siento  - Super Junior	71.90	Hard	1.8★					
 Underworld - Eptic	71.80	Expert	1.8★					
 Heavydirtysoul - Twenty One Pilots	71.80	Hard	1.81★					
 One Thing (Grant Remix) - San Holo	71.80	Hard	1.79★					
 Faded Cheap Thrills - Djs from Mars	71.80	Hard	1.73★					
 Ocean Man - 	71.80	Expert	1.74★					
 This is America - Childish Gambino	71.80	Hard	1.79★					
 Hyouri Ittai - ?kagamine Rin Len?	71.70	Hard	1.67★					
 Sledgehammer - Savant	71.70	Hard	1.59★					
 I can't stop - Flux Pavilion	71.60	Expert	1.78★					
 Rocket League Theme - Mike Ault	71.60	Expert	1.76★					
 Powerful - Major Lazer	71.60	Hard	1.74★					
 BBoom BBoom  - MOMOLAND	71.60	Hard	1.79★					
 I can't stop - Flux Pavilion	71.50	Hard	1.78★					
 Fake Love - BTS	71.50	Hard	1.78★					
 Speed Over Beethoven - 	71.50	Normal	1.71★					
 Friend Like Me - Aladdin OST	71.50	Hard	1.72★					
 Hypest Hype - Chase & Status	71.50	Hard	1.87★					
 Daft Punk - medley	71.50	Hard	1.74★					
 Flat Zone 2 - Kenichi Okuma	71.40	Expert	1.78★					
 1Summer - 	71.40	Hard	1.75★					
 Dance Macabre - Ghost	71.40	Expert	1.78★					
 Eclipse - Jim Yosef	71.40	Hard	1.73★					
 Alpha - Alpha	71.40	Expert	1.91★					
 Walking on a dream - Empire of the Sun - 	71.20	Expert	1.7★					
 Rex Duodecim Angelus - A Marathon song, really	71.20	Normal	1.79★					
 Rich Love - One Republic and Seed	71.20	Expert	1.79★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 me & u - succducc	71.20	Hard	1.75★					
 Fate Apocrypha OST - The Knight of Rebellion (Mordred's Theme) - 	71.10	Expert	1.79★					
 Obsession - OK Go	71.00	Expert	1.76★					
 Blue (KNY Factory Remix) - Effeil 65	71.00	Expert	1.74★					
 Obsession - OK Go	71.00	Expert	1.76★					
 UNTOUCHABLE  - (Feat. McconnellRet)	70.90	Normal	1.24★					
 Genghis Khan - Miike Snow	70.90	Expert	1.7★					
 Ava Adore - 	70.90	Hard	1.77★					
 Erza's Theme - Fairy Tail	70.80	Hard	1.57★					
 Pjanoo - 	70.80	Normal	1.66★					
 Fireflies (Said The Sky Remix) - Owl City	70.80	Hard	1.74★					
 King of the Dead - XXXTENTACION	70.80	Expert	1.68★					
 WAIDMANNS HEIL - Rammstein	70.80	Hard	1.77★					
 Click Bait - Feat. Gl!tch	70.80	Normal	1.69★					
 Monstercat 3Y Mix - (Beatmap by Chandoggie)	70.70	Hard	1.76★					
 Proper Funds - Tub Ring	70.70	Expert	1.76★					
 What is Love? - 	70.70	Expert	1.75★					
 Cotton Eyed Joe - 	70.60	Normal	1.77★					
