Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 La Grange - ZZ Top	143.72	Expert+	3.57★	127	0.01084	1.5577		
 Youkoso Japari Park e - Kemono Friends OP	143.54	Hard	3.59★	128	0.01046	1.5013		
 Fairy Tail - Strike Back - Back On	143.23	Expert	3.58★	129	0.01009	1.4456		
 Invulnerable - Taishi	142.66	Expert+	3.56★	130	0.00974	1.3895		
 Ddaeng - BTS (RM, SUGA, J-HOPE)	142.62	Expert	3.57★	131	0.00940	1.3405		
 deltaMAX - DM Ashura	142.45	Expert	3.56★	132	0.00907	1.2920		
 Death by Glamour - by Toby Fox	141.48	Expert+	3.54★	133	0.00875	1.2383		
 Solfeggietto - C.P.E. Bach	141.39	Expert+	3.39★	134	0.00845	1.1942		
 Blood of Bannockburn - Sabaton	141.27	Expert	3.46★	135	0.00815	1.1514		
 Clear Rose - IZMIZM	140.98	Expert+	3.52★	136	0.00787	1.1088		
 Braindead - Mapped by 20/20 Gamer	140.97	Expert+	3.54★	137	0.00759	1.0700		
 Lay Down - Priestess	140.61	Expert	3.51★	138	0.00732	1.0299		
 Ride On Shooting Star - by The Pillows	140.44	Expert+	3.51★	139	0.00707	0.9926		
 STOPITSOT VIDOSOV - (feat. Max +100500)	140.07	Expert	3.44★	140	0.00682	0.9554		
 Click Bait - Feat. Gl!tch	139.89	Expert	3.49★	141	0.00658	0.9207		
 BTH 4 - Elysium Plus - (Charted by M.Rappold	139.76	Expert+	3.4★	142	0.00635	0.8877		
 Supercalifragilisticexpialidocious (Eurobeat) - Go Go Girls 	139.75	Expert	3.5★	143	0.00613	0.8566		
 Magic Logic Labyrinth - a_hisa	139.69	Expert	3.38★	144	0.00591	0.8262		
 Godspeed - 	139.48	Expert	3.32★	145	0.00571	0.7961		
 Nevereverland - NANO	139.22	Expert	3.4★	146	0.00551	0.7668		
 Lone Digger - Caravan Palace	138.92	Expert	3.49★	147	0.00532	0.7384		
 Hellfire - Hommarju	138.53	Expert	3.33★	148	0.00513	0.7105		
 Witchcraft - Pendulum	138.42	Expert	3.47★	149	0.00495	0.6851		
 The Drugs - Mother Mother	138.39	Expert	3.33★	150	0.00478	0.6610		
 Can't Stop Raving - (Original Mix)	138.37	Expert+	3.41★	151	0.00461	0.6378		
 Umapyoi Densetsu - TV Size	138.32	Expert	3.14★	152	0.00445	0.6152		
 Another Dimension - Junghwan Park	138.29	Expert	3.41★	153	0.00429	0.5936		
 Fire Hive - Knife Party	137.99	Expert+	3.28★	154	0.00414	0.5715		
 DotA - 	137.98	Expert	3.31★	155	0.00400	0.5515		
 Knights of Cydonia (Single Edit) - Muse	137.97	Expert+	3.45★	156	0.00386	0.5322		
 Duty Calls for 162BPM - Mastgrr (Team Fortress 2 Theme)	137.94	Expert+	3.33★	157	0.00372	0.5134		
 Responsibility Response - Izumi Akazawa (CV. Madoka Yonezawa)	137.72	Expert	3.37★	158	0.00359	0.4947		
 La Grange - ZZ Top	137.37	Expert	3.43★	159	0.00347	0.4761		
 Swiggity - IZECOLD	137.32	Expert+	3.37★	160	0.00334	0.4593		
 Only My Railgun - fripSide	137.13	Hard	2.14★	161	0.00323	0.4426		
 Now Loading - Fourfolium	136.94	Expert	3.07★	162	0.00311	0.4265		
 BTH 5 - How To Save A Life - (Charted by M.Rappold)	136.74	Expert+	3.41★	163	0.00301	0.4110		
 shiawase egoisuto - ShinRa-Bansho	136.44	Expert	3.11★	164	0.00290	0.3958		
 Hitorigoto -TV MIX- - ClariS	136.41	Expert	3.33★	165	0.00280	0.3818		
 Year 3000 - Busted	135.96	Expert	3.4★	166	0.00270	0.3672		
 Unity - 	135.95	Expert	3.19★	167	0.00261	0.3544		
 Requiem For A Dream - (Beyond All What's Denied cover)	135.85	Expert	3.4★	168	0.00252	0.3417		
 Dr. Neo Cortex - Tulkuton Metal Remix	135.38	Expert	3.22★	169	0.00243	0.3286		
 [EC1]Rio - Netsky Feat. Digital Farm Animals	135.33	Expert	3.31★	170	0.00234	0.3170		
 The King of Lions - Camellia	135.20	Expert	3.4★	171	0.00226	0.3056		
 Part 1 - Krayysh Remix	134.80	Expert	3.37★	172	0.00218	0.2940		
 Part 1 - Krayysh Remix	134.80	Expert	3.37★	173	0.00210	0.2837		
 Greenlights Serenade  - Omoi ft. Hatsune Miku	134.79	Expert+	3.28★	174	0.00203	0.2738		
 Do Not Look Down - MESHUGGAH	134.42	Expert	3.34★	175	0.00196	0.2635		
 Mischievous Of Alice - 	134.37	Expert	3.37★	176	0.00189	0.2542		
 Kobayashi's Dragon Maid OP - Aozora no Rhapsody	134.08	Expert	3.27★	177	0.00183	0.2447		
 Sentience Uprising - Acid-Notation	133.96	Expert	3.35★	178	0.00176	0.2360		
 Lone Digger - 	133.78	Hard	3.21★	179	0.00170	0.2274		
 Saint Pepsi - Private Caller - 	133.70	Expert	3.24★	180	0.00164	0.2193		
 Nico Nico Douga Medley - Jackscape	133.54	Expert+	3.33★	181	0.00158	0.2114		
